Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,include title,include abstract,exclude,accept contents,code,theme,rq answers
A comparative study of similarity measurement in a new neural model of Unsupervised clustering,H. Ohmaid; M. Timouyas; S. Eddarouich,"Mohammed V Souissi University,E2SN, ENSET,Rabat,Morocco; Universiaplis,Laaoune,Morocco; Regional Educational Center CRMEF,Computer Science Department,Rabat,Morocco",2019 Third International Conference on Intelligent Computing in Data Sciences (ICDS),27-Dec-19,2019,,,1,8,"The clustering is one of the most active research and application areas of neural networks. Moreover, it is widely used in many disciplines as data mining, machine learning, decision-making, bioinformatics, image segmentation, and many other areas. The big challenge for clustering data is to choose the right criterion of resemblance for a given data set, which makes distance measure an important factor. In this paper, we present a new statistical neural clustering approach based on Hebbian competitive training and we study three distance measures: Euclidean, Mahalanobis and Manhattan, and their effect on the clustering of different unlabeled data sets forms. Compared to classical approaches such as K-means, this approach has the advantage of high speed because of using a neural network equipped with parallel information processing. Additionally, the proposed procedure does not pass by any thresholding and does not require any information a priori on the number of classes nor on the structure of their distributions in the sample.",,978-1-7281-0003-6,10.1109/ICDS47004.2019.8942242,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8942242,Clustering;Probability Density Function;Competitive Neural Networks;Euclidean distance;Mahalanobis distance;Manhattan distance;Competitive Hebbian Learning,Probability density function;Hypercubes;Neurons;Training;Prototypes;Hebbian theory,data mining;distance measurement;image segmentation;neural nets;parallel processing;pattern clustering;unsupervised learning,similarity measurement;neural model;unsupervised clustering;neural network;machine learning;decision-making;image segmentation;clustering data;distance measure;statistical neural clustering approach;Hebbian competitive training;unlabeled data sets forms,,,,34,,27-Dec-19,,,IEEE,IEEE Conferences,yes,yes,no,yes,selection; comparison; data-depedent,Selection Criteria,"""In this paper we present a new statistical approach
for multidimensional data clustering based on neural
networks and particularly the competitive neural network;
which have shown their performance in several applications,
we also compared the results of the approach according to
different similarity metrics used. This comparison allows us
to appropriate distance measure for clustering different kind
of data, which helps the researchers to take good decision in
a short time."" pg.7."
Data Pre-processing for More Effective Gene Clustering,J. Hou; Y. -P. P. Chen,"Sch. of Eng. & Inf. Technol., Deakin Univ., Burwood, VIC, Australia; Sch. of Eng. & Inf. Technol., Deakin Univ., Burwood, VIC, Australia",2009 International Joint Conference on Computational Sciences and Optimization,07-Aug-09,2009,1,,710,713,"The high-throughput experimental data from the new gene microarray technology has spurred numerous efforts to find effective ways of processing microarray data for revealing real biological relationships among genes. This work proposes an innovative data pre-processing approach to identify noise data in the data sets and eliminate or reduce the impact of the noise data on gene clustering, With the proposed algorithm, the pre-processed data sets make the clustering results stable across clustering algorithms with different similarity metrics, the important information of genes and features is kept, and the clustering quality is improved. The primary evaluation on real microarray data sets has shown the effectiveness of the proposed algorithm.",,978-0-7695-3605-7,10.1109/CSO.2009.328,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5193792,Bioinformatics;data pre-processing;clustering,Clustering algorithms;Noise reduction;Gene expression;Data engineering;Information technology;Road transportation;Australia;Biology;Noise measurement;Filters,biology computing;genetics;pattern clustering,data preprocessing;gene clustering;gene microarray technology;biological relationship;noise data identification;clustering quality,,1,,18,,07-Aug-09,,,IEEE,IEEE Conferences,no,no,,,,,
Long-term Time Series Data Clustering of Stock Prices for Portfolio Selection,Y. Shirota; A. Murakami,"Gakushuin University,Tokyo,Japan; Gakushuin University,Tokyo,Japan","2021 IEEE International Conference on Service Operations and Logistics, and Informatics (SOLI)",13-Jan-22,2021,,,1,6,"Clustering for stock data is conducted with two clustering methods, k-Shape and k-means with DTW distance measure and the results are compared. The data is the top 129 global electronics manufactures' stock prices from 2018 to 2020 which included the worst Christmas in 2018 and the beginning of COVID-19 outbreak. The involved countries are US, China, Taiwan, Korea, Japan and some others. The clustering results by k-Shape indicate distinctively different effects on those countries' stock markets due to the COVID-19 turmoil. The patterns of the clusters can be visualized to identify the differences among the clusters. We found that each of eight clusters comprises of the same country companies. From that, we could guess that investors or their algorithms tend to invest in companies according to its country rather than the individual company's performance.",,978-1-6654-6722-3,10.1109/SOLI54607.2021.9672407,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9672407,Time series data clustering;k-Shape;DTW;portfolio,COVID-19;Time series analysis;Data visualization;Companies;Stock markets;Informatics;Clustering methods;Clustering algorithms;Portfolios,investment;pattern clustering;stock markets;time series,term time series data clustering;stock prices;portfolio selection;stock data;clustering methods;DTW distance measure;129 global electronics manufactures;worst Christmas;COVID-19 outbreak;involved countries;distinctively different effects;COVID-19 turmoil;country companies,,,,30,IEEE,13-Jan-22,,,IEEE,IEEE Conferences,no,no,,,,,
Hierarchical Clustering of Materials With Defects Using Impact-Echo Testing,J. Igual,"Departamento de Comunicaciones, Universitat Politècnica de València, Valencia, Spain",IEEE Transactions on Instrumentation and Measurement,23-Jun-20,2020,69,8,5316,5324,"Signals obtained from impact-echo techniques can be used to detect and classify the defects in damaged materials. The defects change the wave propagation between the impact and the sensors producing particular spectrum elements, which define the feature vector. We propose a hierarchical clustering method that models the feature vector as a mixture of Gaussians (MoG) for every class and then merges different clusters using as a distance measure the symmetric Kullback-Leibler (KL) divergence. Since there is no closed-form solution to the KL divergence between MoGs, some approximations are introduced. We apply the hierarchical clustering algorithms to the signals obtained from real specimens made of aluminum alloy. The samples are classified into four classes according to the state: homogeneous (no defect), one hole, one crack, and multiple defects. We compare the performance of different approximations and discuss the dendrograms that are obtained. Similar kinds of defects are clustered first, and more importantly, the high-level hierarchy is able to distinguish between the defective and nondefective materials.",1557-9662,,10.1109/TIM.2020.2964911,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952754,Classification;hierarchical clustering;impact echo (IE);Kullback–Leibler (KL) divergence;mixture of Gaussians (MoG);sensors,Testing;Clustering algorithms;Bayes methods;Principal component analysis;Data models;Sensors;Probabilistic logic,aluminium alloys;cracks;echo;Gaussian processes;impact testing;nondestructive testing;pattern clustering,cracks;particular spectrum elements;wave propagation;damaged materials;impact-echo testing;nondefective materials;defective materials;multiple defects;homogeneous;aluminum alloy;hierarchical clustering algorithms;KL divergence;closed-form solution;symmetric Kullback-Leibler divergence;hierarchical clustering method;feature vector,,5,,30,IEEE,08-Jan-20,,,IEEE,IEEE Journals,no,no,,,,,
A comparison of cluster distance metrics for the segmentation of sputum color image using unsupervised hopfield neural network classifier,R. Sammouda; B. B. Youssef,"Computer Science Department, College of Computer and Information Sciences, King Saud University. Riyadh, Saudi Arabia; Computer Engineering Department, College of Computer and Information Sciences, King Saud University. Riyadh, Saudi Arabia",2014 Global Summit on Computer & Information Technology (GSCIT),04-Dec-14,2014,,,1,6,"Unsupervised Hopfield Neural Network classifier (UHNNC) is an operational process appropriate for the segmentation of different type of medical and natural images. Its efficiency subsidizes not only to its start from a random initialization for the assignment of each pixel to only and only one cluster but also to its convergence to an advanced optimal solution in a pre-specified number of iterations. In this paper, we present a study of the distance type effect on the segmentation result using UHNNC. We have used a database of 1000 sputum color images prepared to be used in a screening process for lung cancer diagnosis. A quantitative comparison between the results obtained using the Euclidian and the Manhattan distance or city block distance showed that the former gives better classification or segmentation to the pixels of the different cells present in the sputum color images",,978-1-4799-5627-2,10.1109/GSCIT.2014.6970130,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6970130,Sputum Color Images;Lung Cancer;Segmentation;HNN Classifier;Euclidian and Manhattan metrics,Image segmentation;Object recognition;Color;Lungs;Cancer;Tumors,cancer;Hopfield neural nets;image colour analysis;image segmentation;lung;medical image processing,cluster distance metrics;sputum color image segmentation;unsupervised Hopfield neural network classifier;UHNNC;distance type effect;lung cancer diagnosis;Euclidian;Manhattan distance;city block distance,,1,,8,IEEE,04-Dec-14,,,IEEE,IEEE Conferences,yes,yes,no,yes,comparison,Comparing which metric works better,"""Results show that when
using the Manhattan distance, smoother and shorter error
variance was not reflected in the segmentation, nor did it
provide near match with the raw image shown in Figure 1 (a).
Euclidian distance, on the other hand, displayed wider error
range, but much clearer segmentation and closer matching with
the raw image. "" pg.6."
General Fuzzy C-Means Clustering Strategy: Using Objective Function to Control Fuzziness of Clustering Results,K. Zhao; Y. Dai; Z. Jia; Y. Ji,"School of Automation, Beijing Institute of Technology, 47833 Beijing, China, 100081 (e-mail: zhaokaixini@bit.edu.cn); School of Automation, Beijing Institute of Technology, 47833 Beijing, China, 100081 (e-mail: daiyaping@bit.edu.cn); School of Automation, Beijing Institute of Technology, 47833 Beijing, China, (e-mail: zhiyang.jia@bit.edu.cn); School of Automation, Beijing Institute of Technology, 47833 Beijing, China, 100081 (e-mail: jiye521@bit.edu.cn)",IEEE Transactions on Fuzzy Systems,,2021,PP,99,1,1,"As one of the most commonly used clustering methods, the Fuzzy C-means (FCM) clustering strategy extends the notion of hard clustering to associate each pattern with every cluster using a membership function. Although a lot of efforts have been made by the clustering community, it is still unclear how to evaluate the fuzziness of different versions of FCM. To fill this theoretical blank, by observing a family of objective functions, a definition of fuzzy degree is provided to quantify the fuzziness of different versions of FCM according to their dedicated objective functions. Then a general Fuzzy C-Means (GFCM) clustering algorithm is proposed to solve the clustering problem of using FCM under different distance metrics and fuzzy degrees. From the perspective of fuzzy attribute, the using of this fuzzy degree can be used to reveal the essential difference among a group of FCM-based clustering algorithms, and the proposed GFCM achieves the aim of using objective functions to control the fuzziness of clustering results. Additionally, some properties and relations of these FCM-based clustering algorithms under different fuzzy degrees are discussed and the convergence and stability of the proposed GFCM are proved. Finally, extensive experiments have been performed to demonstrate that by comparison with the effect caused by distance metric, the choices of fuzzy degree have a more significant effect and improvement on the performances of a FCM-based clustering algorithm.",1941-0034,,10.1109/TFUZZ.2021.3119240,"Natural Science Foundation of Beijing Municipality(grant numbers:3192028,L191020); National Talents Foundation of China(grant numbers:WQ20141100198); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9566786,Fuzzy clustering;fuzzy C-means (FCM);fuzzy degree;family of objective functions,Linear programming;Clustering algorithms;Prototypes;Distributed databases;Extraterrestrial measurements;Optimization;Euclidean distance,,,,,,,IEEE,11-Oct-21,,,IEEE,IEEE Early Access Articles,yes,yes,no,yes,other factors,Other factors influencing performance along with distance/similarity metrics,""". In addition, a GFCM clustering strategy is
proposed to solve the clustering problem of using FCM under
different distance metrics and fuzzy degrees, which achieves
the aim of using objective function to control the fuzziness of
clustering results."" pg.14 ""Finally, extensive
experiments have been performed to demonstrate that by comparison with the effect caused by distance metric, the choices of
fuzzy degree have a more significant effect and improvement on
the performances of a FCM-based clustering algorithm"" pg.1"
Ensemble Similarity Measures for Clustering Terms,A. Ittoo; L. Maruster,"Fac. of Econ. & Bus., Univ. of Groningen, Groningen, Netherlands; Fac. of Econ. & Bus., Univ. of Groningen, Groningen, Netherlands",2009 WRI World Congress on Computer Science and Information Engineering,24-Jul-09,2009,4,,315,319,"Clustering semantically related terms is crucial for many applications such as document categorization, and word sense disambiguation. However, automatically identifying semantically similar terms is challenging. We present a novel approach for automatically determining the degree of relatedness between terms to facilitate their subsequent clustering. Using the analogy of ensemble classifiers in machine learning, we combine multiple techniques like contextual similarity and semantic relatedness to boost the accuracy of our computations. A new method, based on Yarowskypsilas word sense disambiguation approach, to generate high-quality topic signatures for contextual similarity computations, is presented. A technique to measure semantic relatedness between multi-word terms, based on the work of Hirst and St. Onge is also proposed. Experimental evaluation reveals that our method outperforms similar related works. We also investigate the effects of assigning different importance levels to the different similarity measures based on the corpus characteristics.",,978-0-7695-3507-4,10.1109/CSIE.2009.764,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5171010,text clustering;semantic relatetdness;natural language processing,Ontologies;Position measurement;Computer science;Application software;Machine learning;Glass;Pressing;Length measurement;Mutual information,learning (artificial intelligence);pattern classification;pattern clustering;text analysis,ensemble similarity measure;semantically related term clustering;document categorization;word sense disambiguation;ensemble classifier;machine learning;contextual similarity;high-quality topic signature;text analysis,,2,,9,,24-Jul-09,,,IEEE,IEEE Conferences,yes,yes,no,yes,modified/anomalous metric,Modified/derived/anomalous metrics for better performance,"""We also investigate the effects of assigning
different importance levels to the different similarity
measures based on the corpus characteristics."" pg.1. ""Our proposed ensemble similarity measure is
adaptable to suit different corpus characteristics by
assigning different weights to its contextual similarity
and its semantic relatedness components."" pg.4"
SARNA-ensemble-predict: The effect of different dissimilarity metrics on a novel ensemble-based RNA secondary structure prediction algorithm,H. H. Tsang; K. C. Wiese,"School of Computing Science, Simon Fraser University, Surrey, British Columbia, Canada V3T 2W1; School of Computing Science, Simon Fraser University, Surrey, British Columbia, Canada V3T 2W1",2009 IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,15-May-09,2009,,,8,15,"Recently, there is a resurgence of interest in the RNA secondary structure prediction problem due to the discovery of many new families of non-coding RNAs with a variety of functions. This paper describes and presents a novel algorithm for RNA secondary structure prediction based on an ensemble-based approach. An evaluation of the performance in terms of sensitivity and specificity is made. Experiments were performed on eleven structures from four RNA classes (RNaseP, Group I intron 16S rRNA, Group I intron 23S rRNA and 16S rRNA). Three RNA secondary structure similarity metrics (base pair distance, tree edit distance, and thermodynamic energy distance) and their effects on the clustering algorithm were explored. The significant contribution of this paper is in the examining of the various results from employing different dissimilarity metrics. Overall, the base pair distance dissimilarity metric shows better results with the other two distance metrics (tree edit distance and thermodynamic energy distance). The results presented in this paper demonstrate that SARNA-Ensemble-Predict can give comparable performance to a state-of-the-art algorithm Sfold in terms of sensitivity.",,978-1-4244-2756-7,10.1109/CIBCB.2009.4925701,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4925701,,RNA;Prediction algorithms;Thermodynamics;Heuristic algorithms;Sensitivity and specificity;Dynamic programming;Sequences;Proteins;Accuracy;Partitioning algorithms,molecular biophysics;molecular configurations;organic compounds,ensemble-based RNA secondary structure prediction algorithm;RNaseP;group I intron 16S rRNA;16S rRNA;thermodynamic energy distance,,3,,33,,15-May-09,,,IEEE,IEEE Conferences,yes,yes,no,yes,comparison,Comparing which metric works better,"""Comparing the three types of dissimilarity metrics
investigated, our results show that the base pair distance
metrics provided a higher average Sensitivity and F-measure."" pg.7. ""In addition, tree edit distance has shown a very strong
correlation in terms of Sensitivity. However, in our results we
did not notice an overwhelming advantage over other metrics."" pg.7."
A Novel Adaptive Fuzzy Local Information $C$ -Means Clustering Algorithm for Remotely Sensed Imagery Classification,H. Zhang; Q. Wang; W. Shi; M. Hao,"School of Environment and Spatial Informatics, China University of Mining and Technology, Xuzhou, China; Lancaster Environment Centre, Lancaster University, Lancaster, U.K.; Department of Land Surveying and Geo-Informatics, The Hong Kong Polytechnic University, Hong Kong; School of Environment and Spatial Informatics, China University of Mining and Technology, Xuzhou, China",IEEE Transactions on Geoscience and Remote Sensing,25-Aug-17,2017,55,9,5057,5068,"This paper presents a novel adaptive fuzzy local information c-means (ADFLICM) clustering approach for remotely sensed imagery classification by incorporating the local spatial and gray level information constraints. The ADFLICM approach can enhance the conventional fuzzy c-means algorithm by producing homogeneous segmentation and reducing the edge blurring artifact simultaneously. The major contribution of ADFLICM is use of the new fuzzy local similarity measure based on pixel spatial attraction model, which adaptively determines the weighting factors for neighboring pixel effects without any experimentally set parameters. The weighting factor for each neighborhood is fully adaptive to the image content, and the balance between insensitiveness to noise and reduction of edge blurring artifact to preserve image details is automatically achieved by using the new fuzzy local similarity measure. Four different types of images were used in the experiments to examine the performance of ADFLICM. The experimental results indicate that ADFLICM produces greater accuracy than the other four methods and hence provides an effective clustering algorithm for classification of remotely sensed imagery.",1558-0644,,10.1109/TGRS.2017.2702061,Fundamental Research Funds for the Central Universities(grant numbers:2015XKQY09); Natural Science Foundation of Jiangsu Province(grant numbers:BK20160248); Priority Academic Program Development of Jiangsu Higher Education Institutions; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7934118,Classification;fuzzy c-means (FCM) clustering;local measure similarity;remotely sensed imagery;spatial information,Clustering algorithms;Remote sensing;Image edge detection;Linear programming;Noise measurement;Robustness;Nickel,fuzzy set theory;geophysical image processing;geophysical techniques;image classification,adaptive fuzzy local information c-means clustering approach;remotely sensed imagery classification;ADFLICM approach;gray level information;local spatial level information;conventional fuzzy c-means algorithm;homogeneous imagery segmentation;new fuzzy local similarity measure;pixel spatial attraction model;new fuzzy local similarity measure;ADFLICM images;effective clustering algorithm,,38,,36,IEEE,25-May-17,,,IEEE,IEEE Journals,yes,yes,no,yes,modified/anomalous metric,Modified/derived/anomalous metrics for better performance,"""A novel ADFLICM clustering algorithm for remotely
sensed imagery classification is proposed in this paper. The
proposed algorithm is able to overcome the drawbacks of the
well-known FCM by incorporating local spatial and gray level
information. The ADFLICM is effective in removing noise
pixels and reducing the edge blurring artifact simultaneously.
This advantage is based on the definition of a new local
similarity measure, which can provide proper tradeoff between the center pixel and its neighboring pixels."" pg.11, pg.12."
Exploring Set-Inspired Similarity Measures for Collaborative Filtering Recommendation,Q. -H. Le; T. -X. Le,"Quy Nhon University,Faculty of Information Technology,Vietnam; Quy Nhon University,Faculty of Information Technology,Vietnam",2021 13th International Conference on Knowledge and Systems Engineering (KSE),28-Dec-21,2021,,,1,6,"The similarity measure is an important component used in collaborative filtering recommender systems (CFRSs) to determine the set of users having the same behavior with regard to the selected items. The measure is typically defined on sets of real-valued or discrete-valued vectors. For discrete-valued vectors, similarity measures are inspired by the comparison of sets and the cardinality of sets. In this paper, we aim to explore set-inspired similarity measures for CFRSs, including Fuzzy sets index, Jaccard index, Sorensen coefficient, and Symmetric difference, with four collaborative filtering methods: (i) user-based, (ii) item-based, (iii) user clustering-based, and (iv) item clustering-based methods. We conduct extensive experiments to evaluate the effect of different measures on the benchmark datasets. An important result is that all four of these measures outperform the Pearson coefficient and Cosine measures in both recommendation effectiveness and computation time. Empirical evidence also shows that the Symmetric difference measure provides better results than all remaining measures.",2694-4804,978-1-6654-9975-0,10.1109/KSE53942.2021.9648825,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9648825,Similarity measures;set-inspired;recommender systems;collaborative filtering;memory-based;clustering-based,Knowledge engineering;Fuzzy sets;Collaborative filtering;Benchmark testing;Systems engineering and theory;Time measurement;Indexes,collaborative filtering;fuzzy set theory;information filtering;pattern clustering;recommender systems,similarity measure;collaborative filtering recommender systems;discrete-valued vectors;set-inspired similarity measures;Fuzzy sets index;collaborative filtering methods;user-based;item-based;user clustering-based;item clustering-based methods;Symmetric difference measure;remaining measures;collaborative filtering recommendation,,,,20,IEEE,28-Dec-21,,,IEEE,IEEE Conferences,yes,yes,no,yes,comparison,Comparing which metric works better,"""The variety of similarity measures can cause
difficulties in selecting a suitable measure. In this paper, we
explored set-inspired similarity measures for CFRSs, including
Fuzzy sets index, Jaccard index, Sorensen coefficient, and
Symmetric difference."" pg.4. ""Empirical evidence also
showed that the symmetric difference measure provides better
results than all the rest of the measures."" pg.5."
"K-Means and K-Medoids: Cluster Analysis on Birth Data Collected in City Muzaffarabad, Kashmir",S. A. Abbas; A. Aslam; A. U. Rehman; W. A. Abbasi; S. Arif; S. Z. H. Kazmi,"Department of Computer Science and Information Technology, University of Azad Jammu and Kashmir, Muzaffarabad, Pakistan; Department of Computer Science and Information Technology, University of Azad Jammu and Kashmir, Muzaffarabad, Pakistan; Department of Electronics and Information Engineering, Southwest University, Chongqing, China; Department of Computer Science and Information Technology, University of Azad Jammu and Kashmir, Muzaffarabad, Pakistan; Department of Computer Science, Saudi Electronic University, Riyadh, Saudi Arabia; Department of Computer Science and Information Technology, University of Azad Jammu and Kashmir, Muzaffarabad, Pakistan",IEEE Access,26-Aug-20,2020,8,,151847,151855,"In the field of medical, each and every analysis is decisive as the study links to life of the subject under observation. One of the most vital area in the field of medical is the healthcare of expecting women in low income countries. High mortality rate due to increased number of caesarean section is evident because of poor medical infrastructure in the region, misunderstood religious teachings, low education and lack of proper decision making at the right time. The root cause analysis of situations demanding caesarean section is a tough job, however in the presence of historical data, one may extract useful information that will help supporting a medical decision by predicting the outcome. It is obvious that regional disparities have a huge impact on the residents of that region. A study performed on any region cannot be all applicable to the residents of some other distant region. This motive has established grounds to conduct a local study upon the data collected from expecting women in city Muzaffarabad, Kashmir. It is believed that the findings of this study will be significant for women that share more or less similar physical, social and maternal traits. Keeping this in mind, study presents an analysis of two clustering techniques for the investigation of appropriate algorithm that groups data into relevant clusters robustly. Firstly, we analyzed K-means and K-medoids algorithms' capability to cluster the data using different distance metrics. Secondly, data transformation techniques including scale, range and Yeo-Johnson are applied. Finally, transformed data are used in K-means and K-medoids algorithms' to generate cluster accuracy. It is observed that the results produced from transformed data are better than using raw data. Yeo-Johnson transformation method is found best for k-means (Hartigan & Wang), K-medoids (SEV distance function) and Rank k-medoids (SEV distance function) with mean accuracy 67.58%, 69.58% and 72.64% respectively.",2169-3536,,10.1109/ACCESS.2020.3014021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9154694,Healthcare;machine learning;cluster analysis;K-medoids;k-means;caesarean section;birth data,Pregnancy;Clustering algorithms;Urban areas;Measurement;Data mining;Diabetes,data analysis;decision making;health care;pattern clustering;statistical analysis,Rank k-medoids algorithms;data transformation techniques;birth data collection;clustering techniques;maternal traits;social traits;distant region;regional disparities;medical decision;historical data;root cause analysis;decision making;religious teachings;medical infrastructure;caesarean section;high mortality rate;low income countries;healthcare;Kashmir;city Muzaffarabad;cluster analysis;K-means algorithm;SEV distance function;Yeo-Johnson transformation method;raw data;distance metrics,,6,,56,CCBY,03-Aug-20,,,IEEE,IEEE Journals,yes,yes,no,yes,comparison; other factors,Other factors influencing performance along with distance/similarity metrics,"""Firstly;
we analyzed k-means and k-medoids algorithms� capability
to cluster the data using different distance metrics. Secondly,
data transformation techniques including scale, range and
Yeo-Johnson are applied and the clustering accuracy of the
said clustering methods is re-calculated. It has been observed
that the results after incorporating data transformation techniques are better as compared to the mean accuracy generated
by clustering methods at alone"" pg.7."
Exploring Clustering Techniques for Effective Reinforcement Learning based Personalization for Health and Wellbeing,E. M. Grua; M. Hoogendoorn,"Department of Computer Science, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands; Department of Computer Science, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands",2018 IEEE Symposium Series on Computational Intelligence (SSCI),31-Jan-19,2018,,,813,820,"Personalisation has become omnipresent in society. For the domain of health and wellbeing such personalisation can contribute to better interventions and improved health states of users. In order for personalisation to be effective in this domain, it needs to be performed quickly and with minimal impact on the users. Reinforcement learning is one of the techniques that can be used to establish such personalisation, but it is not known to be very fast at learning. Cluster-based reinforcement learning has been proposed to improve the learning speed. Here, users who show similar behaviour are clustered and one policy is learned for each individual cluster. An important factor in this effort is the method used for clustering, which has the potential to influence the benefit of such an approach. In this paper, we propose three distance metrics based on the state of the users (Euclidean distance, Dynamic Time Warping, and high-level features) and apply different clustering techniques given these distance metrics to study their impact on the overall performance. We evaluate the different methods in a simulator with users spawned from very distinct user profiles as well as overlapping user profiles. The results show that clustering configurations using high-level features significantly outperform regular reinforcement learning without clustering (which either learn one policy for all or one policy per individual).",,978-1-5386-9276-9,10.1109/SSCI.2018.8628621,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8628621,Health care;Reinforcement Learning;Personalization,Reinforcement learning;Euclidean distance;Clustering algorithms;Computer science;Task analysis;Context modeling,feature extraction;health care;learning (artificial intelligence);pattern clustering,wellbeing;cluster-based reinforcement learning;learning speed;distance metrics;Euclidean distance;high-level features;distinct user profiles;overlapping user profiles;clustering configurations;health states;clustering techniques;effective reinforcement learning based personalization;user behaviour clustering;dynamic time warping,,7,,17,,31-Jan-19,,,IEEE,IEEE Conferences,yes,yes,no,yes,modified/anomalous metric,Modified/derived/anomalous metrics for better performance,"""In addition, we want to understand how the distance metric
and the selected clustering algorithm impacts performance. We
use our three distance functions and combine these with two
commonly known clustering algorithms, namely K-Medoids
clustering [16] and Hierarchical Clustering (Agglomerative
Clustering, using the complete linkage criterion) [17]."" pg.4."
A New Clustering Algorithm Based on the Optimum One-Hop Distance in Wireless Sensor Networks,M. Xiang; W. Shi; X. Zhang; Z. Luo; X. Yang,"Coll. of Autom., Chongqing Univ., Chongqing; Coll. of Autom., Chongqing Univ., Chongqing; NA; NA; NA",2008 International Conference on Embedded Software and Systems,12-Aug-08,2008,,,35,39,"It is very important to maximize the lifetime of wireless sensor networks (WSN) operated on limited power. In order to improve the energy efficiency and prolong the network lifetime, a new clustering algorithm based on the optimum one-hop distance is presented. The relationship among the energy consumption, the device electronic energy and the one-hop transmission distance is analyzed, and then the inverse ratio of the energy consumption increment to the cube of the optimal one-hop distance is gained. So, the clustering algorithm based on the optimal one-hop distance is given to reduce energy consumption. All sensor nodes are divided into different static clusters based on the optimum one-hop distance, and the distance between the fore-and-aft adjacent cluster heads equals or approximates to the optimum one-hop distance, which reduces the energy consumption for inter-cluster communication. At the same time, cluster head acts continuously as local control center and will not be replaced by the candidate cluster head until it almost exhausts its energy supply, which can lessen energy consumption for establishing the new cluster head. Finally, the simulation results demonstrate that the algorithm achieves good effect to prolonging the system lifetime.",,978-0-7695-3287-5,10.1109/ICESS.2008.6,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4595535,Wireless Sensor Networks;Energy Efficiency;Lifetime;Clustering Algorithm;Optimum One-hop Distance,Distance measurement;Energy consumption;Clustering algorithms;Wireless sensor networks;Heuristic algorithms;Algorithm design and analysis;Optimized production technology,wireless sensor networks,clustering algorithm;optimum one-hop distance;wireless sensor network;energy consumption;device electronic energy,,4,,10,,12-Aug-08,,,IEEE,IEEE Conferences,yes,yes,no,yes,modified/anomalous metric,Modified/derived/anomalous metrics for better performance,"""In this paper, a new clustering algorithm is proposed
based on the optimum one-hop distance, which is decided by
the device electronic energy not by the topology of the
network."" pg.5."
On data based learning using support vector clustering,B. Ribeiro,"Dept. of Informatics Eng., Coimbra Univ., Portugal","Proceedings of the 9th International Conference on Neural Information Processing, 2002. ICONIP '02.",05-Jun-03,2002,5,,2516,2521 vol.5,"This paper addresses the effect of applying clustering algorithms, based on a distance metric rule, prior to support kernel learning in classification and regression problems. Self-Organising Maps (SOMs), which place emphasis in data domain description, and K-means clustering algorithms have been selected before applying a support vector algorithm which is based on a margin rule. Moreover, the recently developed support vector clustering algorithm, based on a cluster boundary rule, is applied in benchmark problems for comparison.",,981-04-7524-1,10.1109/ICONIP.2002.1201948,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1201948,,Clustering algorithms;Kernel;Support vector machines;Informatics;Self organizing feature maps;Machine learning;Mathematics;Algorithm design and analysis;Pattern recognition;Parametric statistics,support vector machines;learning (artificial intelligence);regression analysis;pattern clustering;pattern classification;self-organising feature maps;time series,data based learning;support vector clustering;clustering algorithms;distance metric rule;regression problems;classification problems;self-organising maps;K-means clustering;margin rule;cluster boundary rule;benchmark problems;computational learning;Box Jenkins furnace time series prediction;two spirals data set problem,,1,,21,,05-Jun-03,,,IEEE,IEEE Conferences,no,no,,,,,
